FRSZ,FRSA,FragZ,FragA,FRSZcentre,FRSZsigma,FRSAQcentre,FRSAQsigma,FragZcentre,FragZsigma,FragAQcentre,FragAQsigma
20,45,20,38,20,0.111,2.25,0.00134,20.0329,0.138469,1.91,0.0149228
20,45,20,39,20,0.111,2.25,0.00134,20.0329,0.138469,1.95001,0.0144687
20,45,20,40,20,0.111,2.25,0.00134,20.0329,0.138469,2.00249,0.0147823
20,45,20,41,20,0.111,2.25,0.00134,20.0329,0.138469,2.04853,0.0149995
20,45,20,42,20,0.111,2.25,0.00134,20.0329,0.138469,2.1,0.0100614
20,45,20,43,20,0.111,2.25,0.00134,20.0329,0.138469,2.15,0.0143496
20,45,20,44,20,0.111,2.25,0.00134,20.0329,0.138469,2.19001,0.0149223
20,45,20,45,20,0.111,2.25,0.00134,20.0329,0.138469,2.25006,0.0146494
20,46,20,38,20,0.111,2.3,0.00134,20.0329,0.138469,1.91,0.0149228
20,46,20,39,20,0.111,2.3,0.00134,20.0329,0.138469,1.95001,0.0144687
20,46,20,40,20,0.111,2.3,0.00134,20.0329,0.138469,2.00249,0.0147823
20,46,20,41,20,0.111,2.3,0.00134,20.0329,0.138469,2.04853,0.0149995
20,46,20,42,20,0.111,2.3,0.00134,20.0329,0.138469,2.1,0.0100614
20,46,20,43,20,0.111,2.3,0.00134,20.0329,0.138469,2.15,0.0143496
20,46,20,44,20,0.111,2.3,0.00134,20.0329,0.138469,2.19001,0.0149223
20,46,20,45,20,0.111,2.3,0.00134,20.0329,0.138469,2.24006,0.0148656
20,46,20,46,20,0.111,2.3,0.00134,20.0329,0.138469,2.30578,0.0149235
20,47,20,38,20,0.111,2.35,0.00134,20.0329,0.138469,1.91,0.0149228
20,47,20,39,20,0.111,2.35,0.00134,20.0329,0.138469,1.93936,0.0144687
20,47,20,40,20,0.111,2.35,0.00134,20.0329,0.138469,2.0052,0.0147823
20,47,20,41,20,0.111,2.35,0.00134,20.0329,0.138469,2.0647,0.0149995
20,47,20,42,20,0.111,2.35,0.00134,20.0329,0.138469,2.11339,0.0100614
20,47,20,43,20,0.111,2.35,0.00134,20.0329,0.138469,2.14787,0.0143496
20,47,20,44,20,0.111,2.35,0.00134,20.0329,0.138469,2.19527,0.00672
20,47,20,45,20,0.111,2.35,0.00134,20.0329,0.138469,2.24624,0.00672
20,47,20,46,20,0.111,2.35,0.00134,20.0329,0.138469,2.30137,0.0149235
20,47,20,47,20,0.111,2.35,0.00134,20.0329,0.138469,2.35511,0.010244
20,48,20,38,20,0.111,2.4,0.00134,20.0329,0.138469,1.91,0.0149228
20,48,20,39,20,0.111,2.4,0.00134,20.0329,0.138469,1.96569,0.0144687
20,48,20,40,20,0.111,2.4,0.00134,20.0329,0.138469,2.02922,0.00672
20,48,20,41,20,0.111,2.4,0.00134,20.0329,0.138469,2.06255,0.00672
20,48,20,42,20,0.111,2.4,0.00134,20.0329,0.138469,2.11266,0.00672
20,48,20,43,20,0.111,2.4,0.00134,20.0329,0.138469,2.16065,0.00672
20,48,20,44,20,0.111,2.4,0.00134,20.0329,0.138469,2.18895,0.00672
20,48,20,45,20,0.111,2.4,0.00134,20.0329,0.138469,2.24092,0.00672
20,48,20,46,20,0.111,2.4,0.00134,20.0329,0.138469,2.29551,0.00672
20,48,20,47,20,0.111,2.4,0.00134,20.0329,0.138469,2.35012,0.0108184
20,48,20,48,20,0.111,2.4,0.00134,20.0329,0.138469,2.40225,0.00916845
20,49,20,38,20,0.111,2.45,0.00134,20.0329,0.138469,1.91,0.0149228
20,49,20,39,20,0.111,2.45,0.00134,20.0329,0.138469,1.9471,0.0144687
20,49,20,40,20,0.111,2.45,0.00134,20.0329,0.138469,2.01887,0.0147823
20,49,20,41,20,0.111,2.45,0.00134,20.0329,0.138469,2.03852,0.00672
20,49,20,42,20,0.111,2.45,0.00134,20.0329,0.138469,2.09907,0.00672
20,49,20,43,20,0.111,2.45,0.00134,20.0329,0.138469,2.14956,0.00672
20,49,20,44,20,0.111,2.45,0.00134,20.0329,0.138469,2.17877,0.00672
20,49,20,45,20,0.111,2.45,0.00134,20.0329,0.138469,2.23212,0.00672
20,49,20,46,20,0.111,2.45,0.00134,20.0329,0.138469,2.28953,0.00672
20,49,20,47,20,0.111,2.45,0.00134,20.0329,0.138469,2.3446,0.00672
20,49,20,48,20,0.111,2.45,0.00134,20.0329,0.138469,2.39833,0.00986842
20,49,20,49,20,0.111,2.45,0.00134,20.0329,0.138469,2.44966,0.00909837
20,50,20,38,20,0.111,2.5,0.00134,20.0329,0.138469,1.91,0.0149228
20,50,20,39,20,0.111,2.5,0.00134,20.0329,0.138469,1.93355,0.0144687
20,50,20,40,20,0.111,2.5,0.00134,20.0329,0.138469,1.99549,0.0147823
20,50,20,41,20,0.111,2.5,0.00134,20.0329,0.138469,2.05136,0.0149995
20,50,20,42,20,0.111,2.5,0.00134,20.0329,0.138469,2.08678,0.0100614
20,50,20,43,20,0.111,2.5,0.00134,20.0329,0.138469,2.13911,0.0143496
20,50,20,44,20,0.111,2.5,0.00134,20.0329,0.138469,2.18063,0.0149223
20,50,20,45,20,0.111,2.5,0.00134,20.0329,0.138469,2.22131,0.00672
20,50,20,46,20,0.111,2.5,0.00134,20.0329,0.138469,2.2783,0.00672
20,50,20,47,20,0.111,2.5,0.00134,20.0329,0.138469,2.33773,0.00672
20,50,20,48,20,0.111,2.5,0.00134,20.0329,0.138469,2.39245,0.00672
20,50,20,49,20,0.111,2.5,0.00134,20.0329,0.138469,2.44699,0.0100813
20,50,20,50,20,0.111,2.5,0.00134,20.0329,0.138469,2.49704,0.0104738
20,51,20,38,20,0.111,2.55,0.00134,20.0329,0.138469,1.91,0.0149228
20,51,20,39,20,0.111,2.55,0.00134,20.0329,0.138469,1.95001,0.0144687
20,51,20,40,20,0.111,2.55,0.00134,20.0329,0.138469,2.00249,0.0147823
20,51,20,41,20,0.111,2.55,0.00134,20.0329,0.138469,2.0345,0.0149995
20,51,20,42,20,0.111,2.55,0.00134,20.0329,0.138469,2.088,0.0100614
20,51,20,43,20,0.111,2.55,0.00134,20.0329,0.138469,2.12222,0.0143496
20,51,20,44,20,0.111,2.55,0.00134,20.0329,0.138469,2.2024,0.0149223
20,51,20,45,20,0.111,2.55,0.00134,20.0329,0.138469,2.2653,0.0148656
20,51,20,46,20,0.111,2.55,0.00134,20.0329,0.138469,2.31872,0.0149235
20,51,20,47,20,0.111,2.55,0.00134,20.0329,0.138469,2.37408,0.0149995
20,51,20,48,20,0.111,2.55,0.00134,20.0329,0.138469,2.39834,0.00916845
20,51,20,49,20,0.111,2.55,0.00134,20.0329,0.138469,2.44334,0.00909837
20,51,20,50,20,0.111,2.55,0.00134,20.0329,0.138469,2.49268,0.0149964
20,51,20,51,20,0.111,2.55,0.00134,20.0329,0.138469,2.54452,0.0108098
20,52,20,38,20,0.111,2.6,0.00134,20.0329,0.138469,1.91,0.0149228
20,52,20,39,20,0.111,2.6,0.00134,20.0329,0.138469,1.95001,0.0144687
20,52,20,40,20,0.111,2.6,0.00134,20.0329,0.138469,2.00249,0.0147823
20,52,20,41,20,0.111,2.6,0.00134,20.0329,0.138469,2.04853,0.0149995
20,52,20,42,20,0.111,2.6,0.00134,20.0329,0.138469,2.1,0.0100614
20,52,20,43,20,0.111,2.6,0.00134,20.0329,0.138469,2.18287,0.0143496
20,52,20,44,20,0.111,2.6,0.00134,20.0329,0.138469,2.19001,0.0149223
20,52,20,45,20,0.111,2.6,0.00134,20.0329,0.138469,2.24006,0.0148656
20,52,20,46,20,0.111,2.6,0.00134,20.0329,0.138469,2.29905,0.0149235
20,52,20,47,20,0.111,2.6,0.00134,20.0329,0.138469,2.35375,0.0149995
20,52,20,48,20,0.111,2.6,0.00134,20.0329,0.138469,2.40191,0.00916845
20,52,20,49,20,0.111,2.6,0.00134,20.0329,0.138469,2.44937,0.00909837
20,52,20,50,20,0.111,2.6,0.00134,20.0329,0.138469,2.49671,0.0149964
20,52,20,51,20,0.111,2.6,0.00134,20.0329,0.138469,2.54399,0.010836
20,52,20,52,20,0.111,2.6,0.00134,20.0329,0.138469,2.58357,0.0111999
